問題ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,分野,実施回
29-4,"ホール (Hall, D. T.) の提唱したプロティアン・キャリアに関する次の記述のうち、最も不適切なものはどれか。",アダプタビリティには能力やコンピテンシーが含まれ、動機づけは含まれない。,アイデンティティは、自分の価値観・興味・能力・計画についての認識の程度と、過去・現在・将来の自己概念が統合されている程度から構成される。,適応コンピテンスと適応モチベーションのいずれかがゼロになれば、アダプタビリティもゼロになる。,プロティアン・キャリアにはアイデンティティとアダプタビリティの2つのメタ・コンピテンシーが必要である。,1,プロティアン・キャリア理論に関する問題です。プロティアン・キャリアにおける「アダプタビリティ（適応性）」は、変化する環境に適応していく能力を指し、その構成要素には、自己を変化させるための「能力やコンピテンシー」だけでなく、変化に対応しようとする「動機づけ」も含まれます。したがって、「動機づけは含まれない」という記述は不適切です。,知識と理論,29
29-5,"ハーズバーグ (Herzberg, F.) が提唱した職務満足の理論に関する次の文章のうち、( ) に入る語句として、最も適切なものはどれか。\n職務満足や不満足を規定する要因は2つあり、1つは ( ) 要因で満足感との関係が強く、もう1つは衛生要因で不満足と関連する。",自律,動機づけ,報奨,成長,2,ハーズバーグの二要因理論に関する問題です。ハーズバーグは、職務満足と職務不満足はそれぞれ異なる要因によって引き起こされると考えました。職務満足に関係する要因を「動機づけ要因（または満足要因）」、職務不満足に関係する要因を「衛生要因（または不満足要因）」と名付けました。動機づけ要因には、達成、承認、仕事そのもの、責任、昇進、成長などが含まれます。したがって、空欄には「動機づけ」が入ります。,知識と理論,29
29-6,"バンデューラ (Bandura, A.) が提唱した社会的学習理論に関する次の文章のうち、( ) に入る記述として、最も適切なものはどれか。\n人の行動変容に影響を与える2つの予期機能とは、ある行動がどのような結果をもたらすかという「結果予期」と、( )である。",ある結果を生み出すために必要な行動をどの程度うまくできるかという「効力予期」,ある行動がもたらす変化をどの程度期待しているかという「期待予期」,ある行動によって自分がどの程度成長できるかという「成長予期」,ある行動の結果によってどの程度の報酬が得られるかという「報酬予期」,1,バンデューラの社会的学習理論（社会的認知理論）に関する問題です。バンデューラは、行動変容に影響を与える2つの予期機能として、「結果予期（outcome expectancy）」と「効力予期（efficacy expectancy）」を提唱しました。結果予期は「ある行動がどのような結果をもたらすか」という予測であり、効力予期は「ある結果を生み出すために必要な行動を、自分自身がどの程度うまく実行できるか」という自己の能力に対する確信を指します。したがって、空欄には「ある結果を生み出すために必要な行動をどの程度うまくできるかという「効力予期」」が入ります。,知識と理論,29
29-7,"ホランド (Holland, J. L.) の職業興味の6類型に関する次の記述のうち、適切なものはどれか。",機械や物体を対象とする具体的で実際的な仕事や活動の領域を、現実的職業領域(Realistic)とよぶ。,創造的な自己表現や視覚芸術に関連する仕事や活動の領域を、創造的職業領域(Creative)とよぶ。,農業、酪農、園芸などの自然や実践的な作業に関連する仕事や活動の領域を、農業的職業領域(Agricultural)とよぶ。,科学的な研究や技術的な実験に関連する仕事や活動の領域を、科学的職業領域(Scientific) とよぶ。,1,ホランドの職業興味の6類型（RIASEC）に関する問題です。選択肢1の「機械や物体を対象とする具体的で実際的な仕事や活動の領域」は、ホランドの6類型における「現実的（Realistic）」タイプの典型的な特徴を正確に記述しています。他の選択肢は、ホランドの類型における名称や内容と一致しません。例えば、創造的な自己表現は芸術的（Artistic）、科学的な研究は研究的（Investigative）に該当します。,知識と理論,29
29-8,"マーシャ (Marcia, J. E.) が示したアイデンティティ・ステイタスの「予定アイデンティティ、早期完了(foreclosure)」 に関する次の記述のうち、最も適切なものはどれか。",幼児期からのあり方について確信がなくなり、いくつかの可能性について本気で考えた末、自分自身の解決に達して、それに基づいて行動している。,危機前は今まで本当に何者かであった経験がないので、何者かである自分を想像することが不可能だが、危機後はすべてのことが可能だし可能なままにしておかなければならない。,自分の目標と親の目標の間に不協和がなく、どんな体験も、幼児期以来の信念を補強するだけになっており、硬さ(融通のきかなさ)が特徴である。,いくつかの選択肢について迷っているところで、その不確かさを克服しようと一生懸命努力している。,3,マーシャのアイデンティティ・ステイタスに関する問題です。「予定アイデンティティ（早期完了）」は、アイデンティティの危機を経験することなく、親や周囲の価値観、目標をそのまま受け入れている状態を指します。この状態の人は、自分の選択について深く探求したり、他の選択肢を検討したりすることが少ないため、柔軟性に欠ける「硬さ」が特徴とされます。したがって、選択肢3が最も適切です。,知識と理論,29
29-9,"クランボルツ (Krumboltz, J. D.) のキャリア理論に関する次の記述のうち、最も適切なものはどれか。",合理的な推論を行いマッチングするための方法として、具体的な行動をとることを学ぶようにする。,ライフ・ストーリーに織り込まれた意味を明らかにする方法として、継続的な行動をとることを学ぶようにする。,自分の客観的な評価と選択肢がマッチするかを予測するための方法として、連続的な行動をとることを学ぶようにする。,予定外の有益な出来事を生み出す方法として、探索的な行動をとることを学ぶようにする。,4,クランボルツの計画的偶発性理論（Planned Happenstance Theory）に関する問題です。この理論は、キャリアの8割が予期せぬ出来事によって形成されるという考えに基づき、その偶発的な出来事を積極的に活用し、自らのキャリアを創造していくための行動（探索的行動）の重要性を説いています。したがって、選択肢4が最も適切です。,知識と理論,29
29-10,カウンセリングの理論や心理療法の名称とキーワードに関する次の記述のうち、組み合わせとして最も適切なものはどれか。,精神分析・・・「今、ここ」での気づき,来談者中心療法・不合理な信念,交流分析・・・ゲーム,論理療法・・・成長への意思,3,カウンセリング理論とキーワードの組み合わせに関する問題です。交流分析では、人が無意識のうちに繰り返してしまう、心理的な駆け引きを「ゲーム」と呼び、その分析を通じて自己理解を深め、より健全な人間関係を築くことを目指します。したがって、選択肢3が最も適切な組み合わせです。他の選択肢は、キーワードが別の理論に属しています（例：「今、ここ」での気づきはゲシュタルト療法、不合理な信念は論理療法）。,知識と理論,29
29-11,精神分析の「逆転移」についての説明に関する次の記述のうち、最も適切なものはどれか。,分析者の介入や解釈によって、患者が「ああ、そうだったのか」と、感情を込めて気づきが生じることである。,患者の過去のある時点での欲動や感情が、分析者に対して移しかえられてくることである。,分析者が、患者の連想をとおして、患者の無意識で生じている出来事の意味や、その理由を理解することである。,患者が向けてきた感情や態度への、分析者の側に生じてくる無意識な反応である。,4,精神分析における「逆転移」に関する問題です。逆転移とは、分析者（カウンセラー）が、患者（クライエント）から向けられた感情や態度に対して、自身の過去の経験や無意識の感情が刺激され、生じる無意識的な反応を指します。これは、カウンセラー自身の感情や思考がカウンセリングに影響を与える可能性があるため、自己理解と管理が重要とされます。選択肢2は「転移」の説明です。,知識と理論,29
29-12,教育訓練給付制度に関する次の記述のうち、最も適切なものはどれか。,教育訓練給付制度は、内閣総理大臣が指定する教育訓練を修了した際に、その受講費用の一部が支給される制度である。,対象となる教育訓練の給付率は、訓練の種類に応じて2~5割となっている。,教育訓練給付の指定となる訓練講座は、資格取得を目標とする講座やデジタル関係の講座のみであり、大学院における修士課程は対象とならない。,失業状態にある人が初めて専門実践教育訓練を受講する場合、一定の要件を満たせば、教育訓練給付金に加えて、教育訓練支援給付金が支給される。,4,教育訓練給付制度に関する問題です。教育訓練給付金は、雇用保険の被保険者期間など一定の要件を満たす人が、厚生労働大臣が指定する教育訓練を修了した場合に、受講費用の一部が支給される制度です。特に、専門実践教育訓練については、失業状態にある人が初めて受講する場合、一定の要件を満たせば、教育訓練給付金に加えて、生活費を支援する「教育訓練支援給付金」が支給されることがあります。したがって、選択肢4が最も適切です。,知識と理論,29
29-13,セルフ・キャリアドックに関する次の記述のうち、最も適切なものはどれか。,新入社員のみを対象としており、キャリアを蓄積しているベテラン社員や管理職には適用されない。,短期的な業績向上を目的とし、長期的なキャリア形成は重視されない。,企業の人事評価を行うための制度である。,労働者が定期的に自身のキャリアを振り返り、キャリア形成を支援するための仕組みである。,4,セルフ・キャリアドックに関する問題です。セルフ・キャリアドックは、企業が従業員のキャリア形成を支援するために、定期的にキャリアコンサルティングの機会を提供し、従業員が自身のキャリアを自律的に考えることを促す仕組みです。対象は新入社員に限定されず、全従業員が対象となり得ます。また、短期的な業績向上だけでなく、長期的な視点でのキャリア形成を重視します。人事評価とは別の制度であり、個人の内省と成長を支援するものです。したがって、選択肢4が最も適切です。,社会的意義,29
29-14,「職場における学び・学び直し促進ガイドライン」(厚生労働省、令和4年)および「職場における学び・学び直し促進ガイドライン別冊」(厚生労働省、令和7年改訂)に関する次の記述のうち、最も不適切なものはどれか。,労働者の自律的・主体的かつ継続的な学び・学び直しが重要であり、労使の協働が必要とされている。,企業が計画した研修を定期的に受けていれば、個人による主体的な学び直しは不要である。,企業は、労働者の学び・学び直しを促進するため、職務に必要な能力・スキルの明確化や、教育訓練プログラムの提供を行うことが推奨されている。,公的な支援策として、職業能力評価基準やジョブ・カードの活用が推奨されている。,2,「職場における学び・学び直し促進ガイドライン」に関する問題です。このガイドラインは、労働者が生涯にわたって学び・学び直しを継続し、自律的にキャリアを形成していくことの重要性を強調しています。企業が提供する研修は重要ですが、それだけで個人の主体的な学び直しが不要になるわけではありません。むしろ、企業は個人の主体的な学び直しを支援する環境を整備することが求められています。したがって、「個人による主体的な学び直しは不要である」という記述は不適切です。,社会的意義,29
29-15,「第11次職業能力開発基本計画」(厚生労働省、令和3年)に関する次の記述のうち、最も不適切なものはどれか。,職業能力評価において、業界や職種を横断した評価基準よりも、各企業が独自に評価基準を設けることが重視されている。,IT化、デジタル化の進展に対応したIT・デジタル人材の育成が重点施策に含まれている。,労働者のリスキリング (継続的な学び)と主体的なキャリア形成への支援が、重要な人材育成支援戦略として位置付けられている。,非正規雇用労働者、女性、若者、高齢者、障害者、外国人など多様な人々に対する職業能力開発支援が含まれている。,1,「第11次職業能力開発基本計画」に関する問題です。この計画では、業界や職種を横断した共通の評価基準（職業能力評価基準など）を活用し、個人の職業能力を客観的に「見える化」することの重要性が強調されています。これにより、企業間の人材移動やキャリア形成が円滑になることが期待されています。したがって、「各企業が独自に評価基準を設けることが重視されている」という記述は不適切です。,社会的意義,29
29-16,雇用関係助成金に関する次の記述のうち、最も適切なものはどれか。,キャリアアップ助成金とは、労働者の企業内でのキャリアアップを促進するため、正社員の処遇改善の取組みを実施した事業主に対して助成するものである。,人材開発支援助成金(人への投資促進コース)では、海外の大学院を活用して経営に関する分野の訓練等を実施する場合も支給対象となりうる。,トライアル雇用助成金(一般トライアルコース) を活用して労働者を雇い入れた場合、他の助成金は一切併用できない。,両立支援等助成金(出生時両立支援コース)は、育児休暇を取得した男女労働者がいた企業が助成の対象となる。,2,雇用関係助成金に関する問題です。人材開発支援助成金（人への投資促進コース）は、労働者のキャリア形成を支援するための訓練費用などを助成するもので、海外の大学院での訓練も一定の要件を満たせば支給対象となり得ます。これは、高度な専門人材育成を目的としているためです。したがって、選択肢2が最も適切です。他の選択肢は、各助成金の対象や要件について誤った記述が含まれています。,知識と理論,29
29-17,「セルフ・キャリアドック導入の方針と展開」(厚生労働省、平成29年)で示された、セルフ・キャリアドックの実施に関する次の記述のうち、最も適切なものはどれか。,キャリアコンサルタントは、法令違反やハラスメントなどの企業側が組織的に対応すべき内容を把握した場合、原則として相談者の同意を得たうえで企業側へ伝えるべきである。,セルフ・キャリアドックの責任者は、人材育成に関して社内に影響力を有することが重要であるため、人事部門から適任者を選定しなければならない。,セルフ・キャリアドックにおけるキャリア研修は、経験の交流が必要なので、年齢・役割など様々な属性の者を混在させて実施するべきである。,セルフ・キャリアドックにおけるキャリアコンサルティング面談は、業務の問題もあり、長時間をかけず、30分未満とするべきである。,1,セルフ・キャリアドックの実施におけるキャリアコンサルタントの役割と倫理に関する問題です。キャリアコンサルタントは守秘義務を負いますが、法令違反やハラスメントなど、組織として対応が必要な重大な問題が把握された場合、原則として相談者の同意を得た上で、企業側に情報提供し、組織的な改善を促すことが求められます。これは、個人の安全と組織の健全性を守るための重要な役割です。したがって、選択肢1が最も適切です。,倫理と行動,29
29-18,「令和5年度雇用均等基本調査 事業所調査 結果概要」(厚生労働省)で示された、男性の育児休業取得状況に関する次の記述のうち、最も不適切なものはどれか。,令和3年10月からの1年間に配偶者が出産した男性の育児休業取得率は3割を超え、前年度の調査より大きく伸びた。,有期契約労働者の男性の育児休業取得率は、平成24年度以降、年度によって増減はありながらも、おおむね増加傾向にある。,令和4年4月からの1年間に育児休業から復帰した男性の育児休業取得期間が「2週間未満」であった割合は、5年前の平成30年調査からおおよそ半減した。,令和4年4月からの1年間に育児休業から復帰した男性の育児休業取得期間は、「3ヶ月~6ヶ月未満」が最も多くなっている。,4,男性の育児休業取得状況に関する問題です。厚生労働省の「令和5年度雇用均等基本調査」によれば、男性の育児休業取得期間は「5日未満」が最も多く、次いで「5日以上2週間未満」となっており、「3ヶ月～6ヶ月未満」が最も多いという記述は不適切です。男性の育児休業取得率は増加傾向にありますが、取得期間は依然として短い傾向にあります。,知識と理論,29
29-19,近年のわが国の失業率の特徴に関する次の記述のうち、適切なものはどれか。,2022年の日本の失業率はアメリカ、イギリス、カナダ、フランスのいずれの国と比較しても低い。,2022年の日本の15~24歳の失業率は、25~34歳の失業率よりも低い。,日本はアメリカと比べて失業者に占める長期失業者(失業期間1年以上)の割合が、2005年以降、一貫して低い。,日本の完全失業率は、コロナ禍の影響を受けた2021年は年平均で4%を超えたが、2023年以降は、一貫して2%を下回っている。,1,日本の失業率の特徴に関する問題です。OECD（経済協力開発機構）のデータなどを見ると、日本は主要先進国と比較して、失業率が低い水準で推移していることが確認できます。2022年も、アメリカ、イギリス、カナダ、フランスといった国々と比較して、日本の失業率は低い傾向にありました。したがって、選択肢1が適切です。,社会的意義,29
29-20,近年のわが国の賃金の動向に関する次の記述のうち、適切なものはどれか。,日本の男女間賃金格差は2010年代に入って以降、縮小傾向がみられる。,2022年における、雇用形態間賃金格差を男女別にみると、男性の方が正社員・正職員と正社員・正職員以外の賃金格差が小さい。,2021年における、日本のフルタイム労働者の男女間賃金格差は、アメリカよりも小さい。,2022年における、わが国の女性の企業規模別賃金格差をみると、大企業と中小企業の差異はほとんどみられない。,1,日本の賃金動向に関する問題です。厚生労働省の賃金構造基本統計調査などを見ると、日本の男女間賃金格差は、長期的に見れば縮小傾向にあります。特に2010年代に入って以降も、その傾向は継続しています。これは、女性の労働参加率の向上や、同一労働同一賃金原則の浸透などが背景にあると考えられます。したがって、選択肢1が適切です。,社会的意義,29
29-21,「令和6年版労働経済の分析」(厚生労働省)で述べられた、無業者(潜在労働力)の状況に関する次の記述のうち、最も適切なものはどれか。,無業者のうち、就業希望のない無業者(在学者を除く)は、就業希望はあるが求職活動をしていない無業者よりも人数が多い。,男女とも 59歳以下の約4割が、「出産・育児・介護・看護・家事のため」に就業希望のない無業者となっている。,就業希望はあるが求職活動をしていない無業者の、求職活動を行っていない理由として最も多いものは、「希望する仕事がありそうにない」である。,就業希望はあるが求職していない無業者を年齢別にみると、男女とも 「59歳以下」よりも、「60~69歳」の人数が多い。,1,無業者（潜在労働力）の状況に関する問題です。厚生労働省の「労働経済の分析」によれば、就業希望のない無業者（在学者を除く）の人数は、就業希望はあるが求職活動をしていない無業者（潜在労働力人口）よりも多いとされています。これは、様々な理由から就業を希望しない人が一定数存在することを示しています。したがって、選択肢1が最も適切です。,社会的意義,29
29-22,育児・介護休業法に関する次の記述のうち、誤っているものはどれか。,労働者本人または配偶者の妊娠・出産等を申し出た労働者に対して、事業主は育児休業制度等に関する個別周知と意向確認を行わなければならない。,有期雇用労働者については、育児休業の取得要件として「引き続き雇用された期間が1年以上」が定められている。,子を養育する男性労働者等は、申出により子の出生後8週間以内に4週間まで出生時育児休業を取得することができる。,育児休業は、1人の子について2回まで分割して取得することができる。,2,育児・介護休業法に関する問題です。2022年4月1日の法改正により、有期雇用労働者の育児休業取得要件から「引き続き雇用された期間が1年以上」という要件が撤廃されました。これにより、有期雇用労働者も無期雇用労働者と同様に、原則として育児休業を取得できるようになりました。したがって、選択肢2は誤りです。,知識と理論,29
29-23,雇用・採用時のルールに関する次の記述のうち、適切なものはどれか。,企業には採用の自由があるため、求職者に対し、面接時に特定政党を支持しているか否か尋ねることは、厚生労働省等が推進する「公正採用選考」に反しない。,面接において「上司や同僚と意見が合わない場合にどうするか」、などの問題解決能力を問うことは、厚生労働省等が推進する「公正採用選考」に反しない。,求人の内容の説明募集また採用にかかる情報の提供について、男女で異なる取扱いをすることは、男女雇用機会均等法に違反しない。,採用基準が複数ある場合には、その中に身長・体重・体力要件が入っていても、一切間接差別にあたらない。,2,雇用・採用時のルール、特に公正採用選考に関する問題です。面接において、職務遂行能力や適性を判断するために、具体的な状況設定（例：「上司や同僚と意見が合わない場合にどうするか」）を通じて、問題解決能力や対人関係能力を問うことは、厚生労働省が推進する「公正な採用選考の基本」に反しません。これは、応募者の能力や資質を客観的に評価するための質問であり、応募者の基本的人権を侵害するものではないためです。したがって、選択肢2が適切です。,倫理と行動,29
29-24,労働基準法上の労働時間・休憩・休日に関する次の記述のうち、最も適切なものはどれか。,行政解釈によれば、同一事業主のみならず事業主を異にする事業場において労働する場合にも、労働時間は通算して計算する。,使用者は、1日の労働時間が12時間を超える場合には、少なくとも2時間の休憩時間を労働時間の途中に与えなければならない。,事業場の労働者の過半数で組織する労働組合がある場合において、使用者がその労働組合といわゆる 36協定を締結し、これを行政官庁に届け出た場合には、その協定の効力は当該組合の組合員である労働者にのみ適用される。,使用者は、労働者に対して毎週少なくとも1日の休日を与えなければならず、ある特定の4週間のなかの任意の4日について休日を与えるという方法は認められていない。,1,労働基準法上の労働時間に関する問題です。労働基準法第38条では、労働時間は事業場を異にする場合でも通算するとされており、行政解釈では、同一の事業主だけでなく、事業主が異なる場合でも、実質的に労働者が労働していると認められる時間は通算して計算すべきとされています。これは、労働者の健康保護の観点から、実労働時間を正確に把握するためです。したがって、選択肢1が最も適切です。,知識と理論,29
29-25,労働者派遣法に関する次の記述のうち、誤っているものはどれか。,派遣元事業主は、派遣労働者の待遇について、派遣先の一般労働者との均等・均衡待遇、または派遣元での一定の要件を満たす労使協定による待遇、のいずれかを確保することが義務づけられている。,派遣元事業主によるグループ企業への労働者派遣は、不当な労働条件の切り下げの手段として用いられないように総労働時間ペースで制限されている。,ある企業を離職した労働者を、離職後1年以内に同企業が派遣労働者として受け入れることは、60歳以上の定年により退職した者を除き、禁止されている。,派遣就業終了後の職業紹介を予定した「紹介予定派遣」も、派遣先による派遣労働者の事前面接は禁止されている。,4,労働者派遣法に関する問題です。「紹介予定派遣」は、派遣期間終了後に派遣労働者を直接雇用することを前提とした派遣形態です。この場合、派遣先企業は、派遣期間が始まる前に派遣労働者の「事前選考」を行うことが認められており、面接もその一環として実施可能です。これは、通常の労働者派遣とは異なり、将来の直接雇用を前提としているため、例外的に認められています。したがって、「事前面接は禁止されている」という記述は誤りです。,知識と理論,29
29-26,小学校学習指導要領・中学校学習指導要領(文部科学省、平成29年告示)、および高等学校学習指導要領(文部科学省、平成30年告示)において示された、教育課程全体や各教科などの学びを通じて育むべき資質・能力に関する次の記述のうち、最も不適切なものはどれか。,学びに向かう力・人間性,社会情緒的能力,知識・技能,思考力・判断力・表現力,2,学習指導要領における資質・能力の三つの柱に関する問題です。現行の学習指導要領では、教育課程全体や各教科を通じて育むべき資質・能力として、「何を理解しているか、何ができるか（知識・技能）」、「理解していること・できることをどう使うか（思考力・判断力・表現力等）」、「どのように社会・世界と関わり、よりよい人生を送るか（学びに向かう力・人間性等）」の三つの柱が示されています。「社会情緒的能力」は、これらのいずれかの要素に含まれる概念ですが、直接的に三つの柱の一つとして明記されているものではありません。したがって、選択肢2が最も不適切です。,知識と理論,29
29-27,中学校の職場体験前後で「職業レディネス・テスト」を活用する場合に期待される効果に関する次の記述のうち、最も不適切なものはどれか。,仕事内容への興味や仕事内容への自信度などの結果をもとに、興味と自信についてプロフィールを分析することで、生徒自身の自己理解が促進される。,「プロフィールを見ながら職業や仕事を考えよう」という個人ワークに取り組むことによって、世の中には多くの職業があるということに気づき、職業への興味・関心を高めるきっかけとなることが期待される。,生徒は自己の適性についての理解を深めることができ、教員は、生徒がその適性に沿った職業に興味・価値観を合わせるよう導く。,職業レディネス・テストの結果をもとにグループワークをすることで、したいこと、自信のあることは人によって違っていて、生徒は一人ひとりに個性があることに気づくことが期待できる。,3,職業レディネス・テストの活用とキャリア教育の原則に関する問題です。キャリア教育においては、生徒が自身の興味、適性、価値観を自律的に探求し、多様な選択肢の中から自己に合ったものを見つけることを支援することが重要です。教員が「生徒がその適性に沿った職業に興味・価値観を合わせるよう導く」という記述は、生徒の自律性を尊重せず、特定の方向へ誘導する姿勢を示しており、キャリア教育の理念に反するため不適切です。,技能,29
29-28,「令和5年度学校基本調査」(文部科学省)における高等学校等卒業者の進学率(過年度卒を含む)に関する次の記述のうち、最も不適切なものはどれか。,高等教育機関(大学(学部)・短期大学(本科)入学者、高等専門学校4年在学者及び専門学校入学者)への進学率は、前年度よりも増加して過去最高であった。,専門学校進学率は、前年度よりも増加して過去最高であった。,短期大学(本科) 進学率は、平成6年度のピーク後は低下傾向で推移している。,大学(学部) 進学率は、前年度よりも増加して過去最高であった。,2,「令和5年度学校基本調査」における進学率の動向に関する問題です。文部科学省の調査結果によれば、高等教育機関全体、および大学（学部）への進学率は増加傾向にあり、過去最高を記録しています。しかし、専門学校進学率は、前年度比で増加はしているものの、過去最高ではありません。短期大学（本科）進学率は、長期的に低下傾向にあるのは事実です。したがって、選択肢2が最も不適切です。,社会的意義,29
29-29,「改訂 心の健康問題により休業した労働者の職場復帰支援の手引き」(厚生労働省、2024年)で述べられた、メンタルヘルス不調により休業した社員の職場復帰に関する次の記述のうち、最も不適切なものはどれか。,休業する社員に対して、人事労務管理スタッフ等が傷病手当金などの経済的な保障や、休業の最長(保障) 期間などの情報提供を行った。,主治医から出された復職可能という診断書だけでは職場で求められる業務が遂行できるか判断しかねたため、産業医が休業した社員の同意を得た上で、主治医から意見の収集を行った。,主治医の職場復帰の可否の判断に基づき、社員自らが最終的な職場復帰の決定を行った。,事業場内産業保健スタッフ等が、職場復帰した社員本人に加え、その上司である管理監督者にも、復帰後の本人の勤務状況および業務遂行の程度について意見を聞いた。,3,メンタルヘルス不調による職場復帰支援に関する問題です。職場復帰の最終的な決定は、主治医の診断、産業医の意見、そして会社の判断を総合的に考慮して行われるべきであり、社員本人の意思だけで決定されるものではありません。特に、安全配慮義務の観点から、会社側が業務遂行能力や職場環境の適合性を判断する必要があります。したがって、「社員自らが最終的な職場復帰の決定を行った」という記述は不適切です。,技能,29
29-30,発達障害者の雇用に際し、職場として配慮すべき事項に関する次の記述のうち、最も不適切なものはどれか。,個々の能力に合わせた作業や新たな作業を組み合わせるなどして、雇用するための職務を創り出すこと。,事業所、障害者双方にきめ細かな人的支援を行うジョブコーチ制度を活用すること。,音や光などに対し、独特で過剰な敏感さを持っている人もいるので、視覚や聴覚、嗅覚面への配慮もすること。,ミスが生じた時は、同じ間違いをしないように、本人が非難されたと感じたとしても、強い口調や大きな声ではっきりと注意すること。,4,発達障害者の雇用における合理的配慮とコミュニケーションに関する問題です。発達障害のある人に対して、ミスを指摘する際に「強い口調や大きな声ではっきりと注意すること」は、本人が過度に刺激を受けたり、萎縮したり、パニックになったりする原因となり、逆効果となる可能性が高いです。本人が非難されたと感じるような態度は避け、冷静かつ具体的に、改善策を提示するようなコミュニケーションが求められます。したがって、選択肢4が最も不適切です。,倫理と行動,29
29-31,キャリアの転機に関する次の記述のうち、最も不適切なものはどれか。,"シュロスバーグ (Schlossberg, N. K.)は、転機に対処するために、Situation(状況)、Self(自己)、Support (支援)、Strategies(戦略) という 「4つの資源」を吟味し、活用することが必要であるとした。","スーパー (Super, D. E.)は、職業的発達段階において、各発達段階の間には、暦年齢にゆるく関連した「移行期」があるとした。","ブリッジズ (Bridges, W.)は、トランジションのプロセスは、「終焉」、「中立圏」を経て、「開始」へ至るとした。","ジェラット (Gelatt, H. B.)は、予期せぬ出来事によってもたらされる「過渡期」が、職業的発達に影響をおよぼしたとした。",4,キャリアの転機に関する理論を問う問題です。ジェラットは、意思決定理論の分野で知られており、キャリアの偶然性や予期せぬ出来事の重要性を指摘しましたが、彼の理論は「過渡期」という用語を主要な概念として用いて、職業的発達に影響を与えるとしたものではありません。予期せぬ出来事の重要性を強調したのは、クランボルツの計画的偶発性理論などがより適切です。したがって、選択肢4が最も不適切です。,知識と理論,29
29-32,「事業場における治療と仕事の両立支援のためのガイドライン」(厚生労働省、令和6年3月)で示された内容に関する次の記述のうち、最も不適切なものはどれか。,就労によって疾病の増悪などが生じないよう、就業場所の変更や労働時間の短縮等の適切な就業上の措置や治療に対する配慮を行うことが就業の前提となる。,疾病を抱える労働者本人が、主治医の指示等に基づき、治療を受けたり服薬をする等、治療や疾病の増悪防止に適切に取り組むことが重要である。,両立支援で必要となる個人情報は、労働安全衛生法に基づく健康診断において把握した場合を除いては、事業者が本人の同意なく取得してはならない。,労働者から申出がない場合、事業主は治療と仕事の両立支援に関して組織としての対策を講じたり取組みを行う必要はない。,4,治療と仕事の両立支援に関するガイドラインの内容を問う問題です。労働者からの申し出がなくても、事業主は労働者の健康状態を把握し、必要に応じて治療と仕事の両立支援に関する情報提供や環境整備を行うことが望ましいとされています。特に、労働安全衛生法に基づく健康管理義務の一環として、事業主には労働者の健康状態を把握し、適切な措置を講じる責任があります。「労働者から申出がない場合、事業主は組織としての対策を講じたり取組みを行う必要はない」という記述は、事業主の積極的な役割を否定しており、不適切です。,倫理と行動,29
29-33,障害特性に応じた雇用支援策に関する次の記述のうち、最も不適切なものはどれか。,精神障害のある人に対し、ハローワークの専門窓口では「精神・発達障害者雇用サポーター」などの専門職員による個々の障害特性に応じたきめ細かな相談支援を行っている。,発達障害のある人に対し、ハローワークでは「精神・発達障害者雇用サポーター」を配置し、個々の障害特性や強みを把握するなど、きめ細かな相談支援を行っている。,ハローワークが精神福祉保健センターとの連携により就労支援を行うには、相談者が障害者手帳を有していることが要件となる。,障害のある人がテレワークによる勤務を行う場合については、トライアル雇用助成金 (障害者トライアルコース) における、原則3ヶ月のトライアル雇用期間を、6ヶ月まで延長可能としている。,3,障害者雇用支援策に関する問題です。ハローワークと精神保健福祉センターの連携による就労支援は、障害者手帳の有無にかかわらず、精神障害や発達障害のある人を対象としています。障害者手帳の取得は必須要件ではありません。支援の対象は、精神的な不調や障害によって就労に困難を抱えている人全般に及びます。したがって、「相談者が障害者手帳を有していることが要件となる」という記述は不適切です。,社会的意義,29
29-34,"アイビイ (Ivey, A. E) のマイクロカウンセリングの技法に関する次の記述のうち、「はげまし」の説明として最も適切なものはどれか。",「ふんふん」、「なるほど」、「そうですか」などの相づちを伴ううなずきや、クライエントが話した言葉の中の重要なキーワードを繰り返すことである。,クライエントの言葉をそのまま繰り返すのではなく、クライエントが話したかったことを聴き手が自分の言葉におきかえて、より適切に表現することである。,クライエントのある程度まとまった話の要点をまとめ、クライエントが話そうとしたことを簡潔に表現することである。,クライエントが話したことの中で、感情にかかわる部分に焦点をあて、クライエントが使った感情的な言葉を繰り返したり、話し手の感情を聴き手が自分の言葉で適切に表現することである。,1,マイクロカウンセリングの技法である「はげまし」に関する問題です。「はげまし」とは、クライエントの語りを促し、継続させるための基本的な技法であり、相づち、うなずき、アイコンタクト、そしてクライエントの言葉の重要なキーワードを繰り返すことなどが含まれます。これにより、クライエントは「聞いてもらっている」と感じ、安心して話を続けることができます。したがって、選択肢1が最も適切です。,技能,29
